Comentário,Nota
é um cartão fácil de usar,8
facilitou minha vida,10
pq esse cartão ele paga anuidade por isso que minha indicação foi 0 e não recomendo a ninguém a fazer ele,0
"sempre da senha incorreta , muito decepcionada com esse cartão",2
"além de possuir o cartão da própria loja , se tem a opção de parcelamento ai tem que pagar juros em cima dos valores . poderiam melhorar essa política afinal so em ter o cartão ds loja , nós clientes edtamods dando a preferência em comprar no",3
tirando a anuidade mensal que é absurda o cartão te dá várias vantagens em descontos,10
"sou cliente desde novembro de 1999. gosto de comprar ai , mesmo tendo cartão atacadão , bb , nubank . só não consegui ainda o cartào do mercantil . grata .",10
10 é uma satisfação usar o cartão,10
as promoções,10
muitoo bom,10
porque é um cartão bom de compras,10
"deveria diminuir anuidade dele , alta .",8
só precisa desvincilar os limites . para se tornar ótimo .,9
"cartão super prático , fácil de pedir e ser aprovado . super indico e já ajudei a amigos conseguirem o cartão .",10
o cartão é bom,9
qualidade dos produtos e um atendimento,10
pouco caixa para o atendimento das compras,7
o juro do parcelamento é muito alto .,7
horrível,0
sem muita burocracia,9
"gosto muito do cartão , e com ele ainda ganha desconto na loja fica melhor ainda",10
"este cartão é muito confuso na hora do uso com saldo rotativo e saldo ? ? ? ( esqueci o nome ) além de limite muito baixo , não faz nem uma feira com este limite ridiculo .",4
"não é melhor , devido a taxa de manutenção que é muito alta .",8
posso comprar em qualquer lugar . só gostaria de ter meu limite aumentado e não vejo isso acontecer .,9
meu cartão e ótimo,10
"bom dia , quando se atrasa um dia após vencimento , acho o juro abusivo , os valores de cada produto no anúncio deixa o cliente sem saber ao certo . em horário de pico poucos caixas funcionam , ficamos muito tempo na fila , é na maioria das vezes não tem embaladores . o bom é que mesmo com td isso gosto de comprar no , principalmente eletrodomésticos .",8
"atendimento dos colaboradores , disponibilidade do material desejado , ambiente organizado e asseado .",10
ausência de promoções de frutos e verduras .,3
me falta alimento de limite,9
é o pior carta q eu tenho juros altos e limite uma merda,3
não tô muito satisfeito não,5
porque o app ta dano muito trabalho,5
"é um cartão que não aumenta , tenho eles a anos , compro sempre com ele , pago em dias minhas faturas e nunca aumenta !",0
tenho liberdade em comprar em qualquer lugar aonde eu estiver . prático e fácil .,10
bom atendimento e atenção,10
o atendente foi muito gentil e simpático,10
cartão com limite maravilho eu estou muito satisfeito com o meu,10
top !,10
gosto muito das promoções inclusive nesses descontos q dão comprando no cartão,10
a anuidade muito auto,5
"o limite mudr mesmo sem o uso , nao sei se por conpensação ou outro faoto e limite rotaivo é pessimo , pois as vezes tem o parecleado e no podemos usar",2
cobrança de taxa .,7
cartão de crédito com limite de compras muito muito baixo,3
tenho muito tempo com o cartão e o limite não aumenta,0
muitas promoções,10
por causa do alto valor da anuidade,1
um ótimo cartão .,10
porque eu tenho vários cartões e e o único cartão que cobra juros de compras parceladas mesmo pagamento no dia do vencimento .....,5
muito satisfeita,10
a cobrança da anuidade,0
melhor cartão de todos os tempos,10
gostei da segurança do cartão en compras online ! pelo fato de precisa da minha autorização para comprar .,10
nunca indicarei o cartão não tem benefícios nenhum pior cartão de todos,3
"já possuo o cartão a bastante tempo , portanto essa parceria para mim é por demais valiosa .",10
eficiencia total,10
preço .,9
tem produtos que não parcela e temos que passar outra vez,6
por não aumentar limite,5
"cartão não aumenta limite , juros alto , cartão sem poder de compra !",0
atendimento dentro da loja .,9
o limite ele é muito pouco pra mim por isso que eu dei nota oito,8
esses dois valores de limite poderia mudar .,8
por propaganda enganosa quando fui comprar não era verdade,0
qualidade e preco,10
atendimento excelente,9
o limite nunca aumentou desde que adiquirir o cartão,0
não deu problemas,10
já comprei várias vezes limite não souber.compro e pago em dias . acho só ruim esse negócio limite rotativo parcelado . nem mais rotativo do parcelado ..,5
o atendimento é muito bom .,10
"meu primeiro cartao e nunca me deixou na mão , muito bom ! ! !",10
"o preço , atenfimento etc",10
cartao maravilhoso,10
a taxa e muito cara de inuidade,7
limite baixo,6
pessoal,8
gosto de compra no,9
estou gostando muito de ter o cartão . só quero em breve um aumento de limite para comprar minha tv 4k .,10
é bem recebido em todas lojas .,10
bom cartão e aceito em todos os locais,10
"agilidade , praticidade",10
o cartão o ótimo somente o limite pra compras e pouco,7
"o motivo é que o cartão cobra juros exorbitantes , quando paga o valor mínimo uma vez , ou quando você precisa dividir o valor da fatura . estou pagando uma conta de 2 mil reais só de juros , utilizei , ele dessa vez porque coloquei crédito , pq assim que quitar a dívida , vou me livrar desse roubo chamado cartão",0
"sempre , muito bem aceito .",10
boa,10
"falo pela primeira compra , pois eu teria um desconto e a funcionária informou que nao existia esse desconto mesmo en tendo informacoes de outros funcionarios de wue eu teria sim . minha primeira compra foi um microondas . confesso portanto que esta ultima compra eu dou 10",6
o cartão nunca me deu problema .,10
"gostei , e indicaria sim !",8
descontos nos produtos do aplicativo .,9
até o momento eu não tive maiores problemas c esse cartão,7
o motivo que eu não indico a um amigo é pq limete não aumenta,3
muito prático .,10
limites generosos e app funcional .,10
anuidade vindo muito cara demais já pensei em cancelar o cartão.ficar só com o banese que não paga anuidade .,7
"eu não consigo acesso a minha senha , acabei não usando o cartão , perdendo as promoções pois tenho que aguardar 15 dias para receber uma carta ! ! ! ! carta ? ? ? ? não poderiam mandar por sms ? ? ? por e-mail ? ? ? ?",3
"os encargos são um absurdo , os custos do adicional fica muito caro",7
ja pedir aumento de limite para comprar um eletrodomestico e nada de aumentar e paga em dias minhas faturas imagino se não pagase .,3
"a operacionalização é rápida , não dá problema de recusa , dá descontos nas compras , porém a taxa anual é muito alta pra mim que sou cliente antigo do grupo ,",10
porque não tem nenhum problema,10
"péssimo , criado dificuldade em atendimento",0
péssimo atendimento na loja,0
"variedade de produtos , ofertas , atendimento ...",10
melhor cartão !,10
limite do cartão,3
eu achei muito bom eu espero que eli aumente de limite,10
"o sistema operacional nas compras , forma a vista e operacional são horríveis , desigual de todos",3
porque é um ótimo cartão,10
"facilidade , limites , boas compras",10
"e aceito em todos os lugares , sem problemas",10
temos muitas opções de compras e ótimas oportunidades de pagamentos .,10
não gostei por .qero q aumente.o limite du meu cartao está muito baixo,8
limite de credito muito baixo,0
"vocês que são responsáveis pelo cartão , ou app , a questão precisa melhorar de fato todas as coisas , fiz uma compra no 1000 e ainda parcelei , fui em outro lugar fazer compras passei vergonha , na final de conta o meu limite e 1800 , 630 rotativo , 1170 , pode-se transformar tudo em um só , vcs ganharia 5 estrelas , e 0 porque precisa melhorar muito , app não presta fica td hora dando erro .",0
"com o cartao g. não necessito ter outro pois faço compras em qualquer lugar sem nenhum problema , estou satisfeita",10
nao cumpre o anunciado,5
limite excelente,10
ótimo sem guro,10
muito bom,9
a distancia mesmo,7
"gosto do sistema , porém muito pouco o limite disponível",8
anuidade muito cara,0
"preço ótimo , parcelamento muito bom , produto excelente !",10
ja tenho muito tempo com o cartao e o limite nao aumenta,7
"muito bom o cartão , só o limite muito baixo que me deram .",10
"para mim o cartão é indispensável , me serve muito , principalmente no momento em quê não tenho dinheiro .",10
a anuidade,0
muito compatível com a minha reda,5
"o cartão é bom .. mas a depender os descontos das promoção que são ótimas no cartão , quando vai parcelar entra j",5
"preço , qualidade dos produtos e excelente atendimento .",10
a qualidade muito boa,10
promocoes i muito mais,10
porque e um cartão bom,10
não tenho aumento de limite,3
é um ótimo cartão gostei muito por ser internacional,10
excelente,10
pouco limite,0
o que é bom se indica .,8
limite baixo demais,8
limite de crédito,7
eu recomendo o cartão por que é um excelente cartão sou muito grata por ter sido aprovada por ele ? ? ? ? ? ? ? ?,10
a taxa de manutenção do cartão e alto,3
"olha esse cartão já tenho há + de 30 anos , isso já diz muito , pra mim é excelente , recomendo !",10
bons procedimentos e atendimento ao cliente,10
"é um cartão bom , com anuidade baixa , a onde você pode usar em qualquer lugar , e sem conta que você tem a rede  , a onde você pode encontrar tudo que precisa .",10
o valor da anuidade deveria ser menor ou nem existir,8
so falta aumentar o limite do cartao automaticamente ou pelo celular e diminuir a anuidade,8
opções de parcelamento em eletros e outros s/juros .,10
e muito bom,10
anuidade muito cara,4
é bom,10
"gosto muito do cartão , porém a anuidade é muito alta",9
promoções,10
"sou cliente a muito tempo e meu cartão nunca aumentou o limite , sem contar que as taxas são um absurdo .",7
bom atendimento,10
porque é uma nota regular,7
tem uma anuidade muita alta o valor de quem tem muito é o mesmo valor pra o aposentado isso é mal,5
bom,9
por que o valo do rotativo e baixo,0
"cartão e bom , porém algumas vezes vou fazer compras tem o limite e não libera e outra coisa o app é muito ruim nota 0 .",8
satisfação total,10
não deveria ter anuidade,7
"bom para comprar , ruim para se comunicar .",8
útil e fácil,10
mas ou menos o que eu não concordo muito e estás taxa de anuidade tenho outros cartão hiper luiza mastercard com limitei dobro de vcse não pago anuidade de nada tenho estes . cartão a mas de 30 anos ja,8
estou satisfeita com o produto .,9
rede máxima supermercado top,10
"limites , e vencimento",8
a divisão de crédito e compra parcelada,10
o motivo é que na hora gue eu preciso eu tenho crédito para fazer minhas compras,10
eu gostei muito ele é super prático de usar,10
pessimo ! pio4 cartão,0
"é um cartão excelente .defeito cobrar anuidade , carrefour e hiper não cobram",7
"rotativo , sem futuro , era pra ser apenas crédito único",5
compra rápida .,10
não levou o 10 por conta da anualidade que é muito caro .. mais nas compras e parcelamento é 10,9
nunca se vi pagar 17 em uma anuidade,0
não tem aplicativo para ver no celular e cobra para chegar sms no meu celular,0
ótimo tem variedades,10
o cartão é muito bom ... mas o app é meio retrógrado . trava muito ...,7
"praticidade , espaço fisico , atendimento",10
e um bom cartão .,8
e um cartão sério aceita em todos estabicilimento,6
"o cartão nunca está com o saldo a vista e o parcelado atualizado . deixei de usar várias vezes o mesmo por este motivo . já mandei mensagens reclamando mas não adiantou nada . é muito mal feito o controle visto que se compro 900,00 descontam 300,00 como compra a vista e 900,00 no parcelado e so posteriormente corrigem . nunca vi isso em outro cartões . agora mesmo meu saldo estar desatualizado , reclamei e nada . não tive nem retorno . razões pela qual não indico .",0
facilitou muito minha vida,10
"porque estou cansado de pedir o novo cartão e não chega no meu endereço , continuo usando o cartão antigo , se possível enviar o novo cartão . endereço rua salvador costa , 25 - feitosa - maceió al . cep 57.042.500. fico no aguardo .",8
"o cartão é muito bom , mas só queria saber como faço pra aumentar o meu limite ?",9
rápido atendimento,10
"quando eu faço uma compra não recebo informação nenhuma , as vezes nem no extrato aparece , só quando fecha a fatura .",8
excelente atendimento bem aceito,8
facilidade,9
oque motivou e motiva é que o cartão é muito bom para fazer compras,10
"sempre compro com esse cartão , tem facilidade e disponibilidade de um limite que atende as minhas necessidades",10
cartão ótimo gosto muito e com certeza vcs estão de parabéns se tirasse a anuidade ficaria melhor ainda .,10
otimo cartao muito bom mesmo mais a nuidade esta muito alta poderia baixar mais um pouco,8
só falta aumenta o meu limite,8
o bom atendimento do  .,10
"bom atendimento , diversificação de ofertas e preços competitivos .",10
pq tem muito tempo q uso e o limite nunca aumenta er sempre o mesmo valor,8
por ser aceito em todo o comércio .,9
ser um cartão de crédito confiável e bem aceito em todos os pocais,10
pq muitas vezes por falta de limite ñ efetuei a compra,5
"demora no atendimento , falta de funcionários na loja para informações",7
valor muito baixo,5
muito bom cartão,10
a respeito da fatura que não chega sempre tenho que ir a loja pra fazer o pagamento ! ? ? ? ?,7
não gosto do limite rotativo,1
"preços muito caro quase nenhuma promoção , poucos caixas funcionando",5
"o fato de cobrar anuidade . tenho outros cartões , e não cobram anuidade .",5
,0
porque os preços e o atendimento são bons,10
porque é satisfatorio,7
"vc tem a faclidade de comprar com desconto promocional na rede , ou então vc pode até parcelar !",8
"excelente , gosto muito",9
"sempre sou muito bem atendido , encontrando sempre o que procuro ! !",10
"gosto do atendimento e das promoções , mas precisa diminuir o tempo na fila .",8
credibilidade pelo atendimento,10
"simples , ninguém e nenhuma empresa e 100 %",9
bandeira do cartão muito bem aceita .,10
"prático , fácil e seguro .",9
porque desconlheso essa comprar meu cartao foi clonado,0
não tem aumento de limite,6
ótimo cartão limite bom praticidade,10
bom atendimento,10
e um cartão muito bom e também facilidade pra vc comprar e otimo,10
muito cara algumas coisas,5
pra ficar perfeito só precisa ser como outros sem anuidades,9
demora na entrega da fatura,8
facilidades .,10
muito bom o atendimento,10
"é um bom cartao para compras na loja mas , restringe as pessoas que já fizeram acordo e tem vontade de tê-lo novamente . essa é uma prática que exclui os clientes",9
"bom , bem pratico",9
surpe bem atendido,8
não concordo com o valor cobrado mensal . quando outros cartões tem anuidade grátis .,5
"bom atendimento , mercadoria boa",10
"é um bom cartão , mas não acho justo pagar anuidade pois utilizo muito a cartão",9
por ser aceito em todos lugares,10
"o cartão é muito útil para mim , e facilita o meu dia a dia",10
é o bom cartão,10
"fácil de conseguir o cartão , bom atendimento , variações de produtos e bom preço .",10
acho o valor da anuidade muito alta,1
show,8
gosto muito de fazer compras com o cartão  todos aceita numa boa,10
bem rapito na hora de aprovar,8
atende em todos estabelecimentos .,9
é muito prático e rápido .,10
adorei os preços dos produtos,9
ótimo produto,10
muito bom e com informações que preciso,10
quero o rastreamento do cartão ainda n recebir,2
era pra ser sem anuidade os clientes iria amar isso,2
atendimento excelente .,9
"a argilidade no atendimento o , burocracia",10
o cartão em si é bom ! o que mata é a anuidade e o limite que nao sobe pra nada . acho que vou cancelar o cartão pois o meu do pank subiu o limite em menos de 1 ano só vendo minhas compras e pagamentos o meu limite pank está maior que o e melhor ainda sem anuidade .,1
"não estou satisfeita com a cobrança mensal do cartão , acho abusiva .",8
e ótimo o cartão,10
"gosto quando explicar o fechamento , a facilidade de pagamento ...",10
vou da 8 pq pago muito caro a nuidadade,7
vcs cobram mt encargos mt taxa,4
bom prazos e bom limites,10
o atendimento das pessoas que trabalham no é horrível ! !,5
eu tenho esse cartão mas de 30 anos amo compra com vcs . melhor preço em todas os materiais . onde tem preço e qualidades só tem,10
entendimento bom ! ao cliente e por ser um cartão que pasa em todos os teritorios .,10
pq leva três dias após o pagamento para ser liberado . anuidade muito alta .,8
"praticidade , rapidez em atualiza para mim o uso do cartão . só presiso almenta um pouco mais meu limite ok .",10
tem produtos que nao esta sendo encontrado na loja . e antes era encontrado .,9
aumentar o limite,8
pq é um cartão q todo estabelecimento aceita . só discordo da anuidade cobrada .,10
"poderia dar nota 10 porém há uma cobrança de anuidade que considero alta , no mas acho um cartão que tem muitos benefícios e deles é na própria loja ex promoções e parcelamentos facilitado .",8
praticidade nas compras .,10
"porque a organização nas lojas  ajuda muito a não perder tempo nas compras pois as indicações nos setores facilita muito e tem qualidade e muita variedades , preços que são muito atrativo para os clientes , mim sinto muito em casa nas lojas g. , todos estão de parabéns , por isso nota 10 , pra mim em tudo em atendimento , nunca fui recebido por qualquer funcionário seja gerente ou da limpeza sempre educados que continuem assim .",10
as informações quando das compras . as informações de saldo disponível . o envio da fatura por e-mail .,10
"o cartão não possui função aproximação e o sistema de crédito é separado , ( rotativo e parcelado ) .",9
10 amo a rede,10
pq não almenta o limite é nem tem aplicativo pra ver o quanto utiliza,0
algumas coisas são muitas vantagem agente compra no cartão mais tem outras que não,10
péssimo cartão,0
demora para aumentar o limite,3
bem aceito em qualquer lugar,10
"juros alto , anuidade alta , e o limites temos q pedir para almentar ..",7
sem burocracia e rápido .,9
"o bom aténdimento e a fácil , comunicação das informações sobre o cartão .",8
pq nada é perfeito . mas foi tudo muito bom,9
eu faço compras e não tenho problema,10
as vantagens fornecidas pelo cartão .,9
limete bom,10
"cartão muito bom e fácil utilização , aceito em tudo e o sempre tem boas promoções",10
muito bom,9
"excelente atendimento , preço razoável , mercadorias que nos interessa .",10
atendimento e preço baixo,10
é um ótimo cartão de crédito . estou satisfeito com ele .,10
"ótimo cartão , excelente app e ótima prestação de serviço .",10
satisfeita .,10
poderia dar 10 mas dei 9 só pq não aumenta o limite,9
não sou letícia ok,0
várias promoções bom atendimento,10
a comodidade e a confianca pela empresa,10
mais descontos nos produtos .,10
poucas promoções,7
gosto do atendimento e dos preços,9
estou amando este cartão,10
porque o cartão é o melhor .,10
a oportunidade que o cartão nós oferece de economia sempre .,9
melhor cartão que existe,10
"o cartão é ótimo , aceito em todos os lugares ! ! só gostaria que melhorassem o app cartões ! !",8
muito bom sem palavras,10
bom preço nas mercadorias,10
simplesmente perfeito,10
limite bom para comprar,9
e ótimo,10
porque passa em várias lojas,10
"gosto muito do cartao e acho otimo ele , pra mim ele e 10 parabens e obrigada por esta em nossas vidas ...",10
é a aceito em todo o país,10
"o cartão é bom , porém muito burocrático conseguir falar com algum atendente quando precisei ligar para resolver sobre desbloqueio e senha que eu ainda não tenho .",9
"promoções ativadas no app parcelamentos atendentes super educados , o q faltava no pau da lima .",10
faço compras no site e pago dividindo-se às parcelas e isso me ajuda .,10
o valor do limite,5
otimo relacionamento com os atendimentos ao cartão boa aceitação no comercio . tudo de bom .,10
comprar no cartão  é bom de mais pq é o melhor .,10
ele mim atente muito bem,10
rapidez e praticidade,10
"não tive nenhum problema , é prático",10
anuidade do cartão muito alta,0
anuidade caríssima e desnecessária,0
por conta da nuidade é muito cara,3
e excelente,10
boa tarde eu já pedir várias vezes p aumentar meu limite mas eles nada faz.p isso eu n indico p ninguém .,4
muito prático,10
perfeito,10
"tive que dividir em mais vezes pq não passava , era 4 eu queria em 4 teve q ser em 7 , odeio dividir em tantas vezes",3
não aumenta o limite e já pedi várias vezes pra trocar o cartão pelo sencosud e toda vez vocês só diz que não está disponível ainda e eu pagando anuidade todos os meses pelo um cartão que só aceita no já estou cheia com isso .,2
so ñ e bom compra cumida muito caro,8
por que não tenho nenhum problema no atendimento,10
atendimento sempre excepcional . qualquer problema ou dúvidas são bem esclarecidas e resolvidas,10
os descontos,10
desconto,10
muito bom as promoções !,10
demorou um pouco pra liberar tudo mais muito feliz com a experiência,9
o cartão cobra muitas tarifas e o limite não aumenta . sem contar que são dois limites ... a vista e parcelado .,2
cartao facil rapido e ainda da descontos,10
é aceito em vários estabelecimento .,8
"sem muita burocracia , boletos emitidos em tempo habil",10
muito bom o atendimento,10
otimo cartao,10
satisfeito pelo cartão e as promoções também são muito bacana,10
eu tentei comprar de novo pelo cpf,5
pq ele e aceito em todos os lugares,10
excelente cartão .,10
tarifa anual abusiva por parte do  . temos outras opções de cartão sem tarifa anual,0
o limite e pouco,5
sempre bom poder contar como !,10
"fala de caixas , fila demorada , produtos sem preço/preço diferente do indicado .",5
por motivo do limite não aumentar .,8
gosto e não tenho problemas com compra e aprovação de compra .,8
"o atendimento , o preço e a rapidez .",10
pelo atendimento cartão muito bom,9
porque ele e muito pra compra e muitos nao saber,5
"ótimo atendimento , bons preços equalidade",10
falta de aumento no limite,2
o aplicativo não funciona,6
o cartao bradescard- é um cartão que nos dá a seguranças nas nossas compras . isso é um dos pontos favorável e muitas outras vantagens . obrigado por eu ter o cartão brestas .,10
porque é rápido e prático,10
facilidade,9
rápido o sistema e não fica gora do ar .,9
"foi a facilidade de fazer as compras , o atendimento e os prazos de pagamento para que nos podemos fazer uma compra maior dentro do nosso orçamento",10
"o cartão é muito bom , mas preciso de mais limite",9
limites pouco,9
a quantidade de lojas existentes .,6
gosto de comprar no por conta da facilidade que o cartão da loja me oferece pois divide em muitas vezes ! !,9
minha vida ficou muito mais fácil depois que adquiri o cartão tanto na facilidade de compras quanto no prazo .,10
é cartão que dar acesso a comprar em todos estabelecimento .,10
prático e seguro e aceito em todo país .,10
preços bons e facilidades para pagamentos,10
parabéns,10
"só nao indiquei 10 por causa desse negocio de paracelado e rotativo isso nao é bom as vezes , quero fazer uma compra com um valor maior e isso atrapalha , pois muitas vezes tenho o valor parcelado e nao rotativo .",9
esse divisão do limite rotativo e parcelado atrapalha muito .,6
sem comentários .,10
pela facilidade e confiança q o tem pelos seu clientes .,10
juros altíssimos !,0
"na verdade é porque não consigo mais entrar no aplicativo , dizem que mandam código pra um telefone que era da minha mãe e que era um número fixo , já liguei várias vezes e nada de resolver .",8
facilidade e agilidade,9
"minha filha tinha um valor em compra disponível pelo aplicativo dela de 25 reais ( está como minha dependente ) e ao pedir a moça que consultadas o preço com o desconto de um produto pelo aplicativo , ao digitar o cpf o prêmio foi descontado no produto no valor de 7 é poucos centavos sem poder usar mais o restante que ficou doa 25 reais .",9
o cartão facilita muito a vida de todos os clientes estão de parabéns obrigado por fazer parte da família de vocês,10
rápido e fácil,8
unidade do cartão,6
comodidade e aceitável .,10
dez pra vc,10
a fatura cadê,7
bom atendimento,7
satisfação !,8
rapidez,10
respeito com o consumidor,10
a única coisa que eu não tou satisfeito em relação os limites avista e parcelando .... gostaria que fosse um limite só pós tenho limite no parcelando e não posso usar porquê não tenho no avista .,0
boa tarade ! ! simpliemente não tem outro supermecado que tenhas as ofertas que vcs tem ... e forma de pagamento,10
"por diante essa crise vc aindam continuam cobrando a anuidade desse cartão , esse dinheiro da anuidade já serveria pra comprar alguma coisa .",0
bom cartão !,5
não tenho o que reclamar,8
eu gostei do cartão,9
demora no caixa .. tem poucos caixa funcionado,6
bom,6
facilidade no dia a dia,10
"muita demora na fila , poucos caixas nos horários de maior movimento , entre meio dia e finais de semana , muita demora nas compras de eletrodomésticos , apenas 1 funcionário na escala para atender várias pessoas ao mesmo tempo , já deixei de comprar muitas vezes devido este problema , que não melhora . por esses motivos eu escolhir dar esta nota . deviso minha insatisfação como cliente .",6
a taxa de juros ainda é muito alta quando acontece de não pagar o valor cheio da fatura .,8
porque a fatura não chega prapaga,0
"tenho o cartão a muitos anos , sempre faço compras com ele e não aumenta o limite , não baixa ou anula a anuidade . acredito que deveria ter um certo reconhecimento nesse sentido com o cliente .",4
é excelente cartão bem aceito nas lojas,10
gosto do cartão é bom,8
anuidade,8
"o cartão é bom , porém já sou cliente a um tempinho e até agora n recebi um aumento de limite .",8
demoram demais pra atualizar o aplicativo,7
foi tudo bem,10
é um bom cartão e bem aceitável no comércio .,8
facilidade .,10
lojas amplas otimo serviço e boas mercadorias,10
"falta de pessoal para atender , poucas opções .",7
porque eu gosto de comprar no  .,8
precisa de um aplicativo para melhor atender,7
o limite de credito . porem não estou satisfeita com a taxa cobrada pela utilização do cartao muito cara . já existem muitos cartões que não cobram mais taxa mensal . um absurdo essa taxa,8
o estacionamento só é disponibilizado aos clientes após a abertura da loja . enquanto isso os clientes são obrigados a ficar na rua dentro dos carros sujeitos a serem assaltados .,1
porque as vezes quando fazemos compras no parcelamento os produtos da promoção entre juros não é muita vantagem perdemos a promoção,9
atendimento,8
dificuldade no call center para desbloqueio do cartão feito por precaução da operadora do cartão,4
muito bom o cartao,10
"os preços de muitos itens são carissimos , e o prazo para produtos que não sejam eletros são muito ruins pois cobram juros , enquanto que outros mercados parcelam e não cobram juros . assai parcela em 3x sem juros quaisquer produtos .",7
devido o valor alto da unidade,9
"os juros que vcs acrescentam qdo queremos dividir a compra em duas vezes , não deveria cobrar juro no cartão g.",8
porque eu gosto do modelo da logística de credito,10
rápido eficaz e aprovação nas compras.em qualquer estabeleço comercial,10
o cartão  e maravilhoso,10
acho a anuidade muito alta,7
melhorar mais atenção com o cliente,8
a comunicação da central é horrível ....,3
"apesar de tudo muito caro , eu gosto de comprar com o cartão",10
não conseguimos falar contigo quando precisamos,6
é uma loja séria e tem comprometimento com o bem estar dos clientes .,9
"boa noite ! gosto das mercadorias . são todas de qualidades , as hortaliças são fresquinha . tem tudo que preciso em um só lugar . o atendimento é bom ! so gratidão .",10
porque sempre eu pago em sua sua fatura obrigada ? ? ? ? ? ? ? ? ? ? ? ? ?,10
"não indicaria pq quando me ligaram pra fazer disseram que eu tinha 1 ano de anuidade grátis , agora tô aqui ligando pra um número e pra outro abrindo uma reclamação atrás da outra e sequer me respondem , próximo mês vou precisar acionar o procon .",0
limite no rotativo e parcelado baixíssimo pra um cliente que paga corretamente e sempre a fatura,0
divisão sem juros,10
as vantagens que só o  tem .,10
a piscina a primeira vez de uso parece que o plástico está todo reservado no fundo toda se rasgando vou procurar meus direitos,0
instabilidade dos preços .,9
eu gosto muito do  e sempre encontrei produtos bons e baratos lá .,10
preço acessível .,10
eficiente,10
"um cartão bom para se usar , porém só o limite q não aumenta .",10
seria 10 se os juros fossem mais baixo .,9
otimo,10
porque é um cartão muito bom ! ! !,10
perfeitamente maravilhoso,10
"tive descontos , parcelado .",10
"só não dei dez , porque tentei várias vezes cancelar desconto de sms , através de telefones do cartão e nunca foi efetuado meu pedido .",9
"bom dia , trata-se de um bom serviço , um cartão com um excelente limite ( e faço questão de mantê-lo ) , também a facilidade de compras ; a minha queixa é o pagamento da anuidade e a grande dificuldade de , às vezes , querer antecipar parcelas e não conseguir ; hoje temos uma gama muito grande cartões de crédito no mercado com anuidade zero e facilidade de pagamentos , antecipação das parcelas ( caso eu queria a exemplo do nu e c6 ) e etc. , enfim , não mudarei minha nota , permanece a 10 , gosto do cartão . at.te , jamir medeiros",10
atendimento e os produto de primrira qualidade e as promoçao,10
limite muito pouco,4
o limite é muito pouco,5
nao gostei,1
ótimas promoções,10
"cartão internacional , bom limite . só não dou 10 , por causa da anuidade .",9
"é um bom cartão , mas pea aumentar o limitamos prometido é uma burocracia",9
acho essa nota uma excelente avaliação,8
o limite é muito pouco e não aumenta .,5
"o cartão não dá muitos benefícios , e ainda cheio de problemas para consultar o limite",1
o cartão possui anuidade .,8
aplicativo não funciona mais .,1
muito bom . só não precisava cobrar anuidade quase todos os cartões não cobram mais essas tarifas,10
o atendimento e a rapidez,10
"um cartão que ao parcelar uma compra de alimentos pagamos juros , não vejo vantagem .",3
a aceitação no mercado,10
cartão que oferece opção de compras tanto na loja  e em outros estabelecimentos .,10
e um anjo pra mim,10
cartao muito bom recebe em qualque estabelecimento sem anuidades,10
porque não consigo entender o critério de liberação de limite de crédito .,8
facilidade no prazo .,10
paga por anuidade de um cartão que só usa no próprio ,0
e um cartão que podemos usar em vários estabilecimento,10
anuidade e iof,6
show de bola maravilhoso recomendo,10
acho bom,8
um cartão fácil de usar e é recebido em todos os lugares,10
porque é um cartao aceito em todo o pais e lhe da a oportunidade de construir sonhos,10
"variedades , promoçoes toda semana , parcelamento sem juros , o atendimento nos caixa .",10
boa tarde tem um bom atendimento o aplicativo produtos com variedades tem um preço bom .,10
"seguro , limite bom e atendimento de excelência .",10
"o cartão é muito confuso , divide o limite em dois , da última vez que fui comprar tinha limite e não passou .",5
as facilidades de desconto no cartão,10
não aumenta o limite do cartão,3
facilidade de compra e pagamento .,9
"varios descontos , aceitar em todo estabelecimento",10
"o garboso não e fiel co . seus clientes . poderia dividir suas compras , principalmente gêneros alimentícios em até 3 vezes sem juros . fica a dica . isso chama clientes e não afasta . obrigada .",6
esse cartão de crédito nunca me deixou na mão !,10
cartão que posso comprar com segurança ...,10
demorei de receber o cartão e a senha e cobra unidade do cartão,5
é um cartão que receben em todos os lugares .,10
"excelente atendimento , e descontos excelentes",10
ótimo mercado . sempre encontro tudo que preciso,10
gostei muito porque teve muita agilidade e rapidez nos atendimento,10
acho o valor de crédito muito pouco .,8
todas as vezes que eu vou usar nunca tive problemas .,10
"valor da anuidade é altíssima , pra quem usa frequentemente . há muito tempo venho pensando em cancelar .",1
esse cartão é ruim de usa a fatura demora pra che ga no meu imail,5
a,5
o motivo é que já possuo o cartão simples  a vários anos e agora fiz o pedido do cartão com bandeira de crédito ....,10
anuidade muito caro .,1
"e um cartão com grande dificuldade de aumento de limite , visto que os demais estão sempre nos favorece com um limite melhor .",5
porque é ele que nos socorre na hora que precisamos !,10
"anos que compro nesse cartão . pago a fatura antes do prazo , minha fatura todo mes é de mil reias em diante . e ate hoje nunca aumentaram o limite do cartao .",0
"rapidez no atendimento , facilidade e preço bom",8
10 e para cartões que nao cobra mensalidade .,7
não concordo c com pagamento de anuidade,6
"a porcentagem de desconto que nos é oferecida , é muito baixa . não há razão pra tão pouco .",9
